endpoint_id,level,family,contrast,expected_direction,multiplicity,interpretation
P1_integrin_mechanical_no_tgfb,module,core_primary,mechanical_tension_vs_relaxed_tgfb_absent,up,BH_within_9_modules,Primary mechanochemical plausibility endpoint
P2_actomyosin_mechanical_no_tgfb,module,core_primary,mechanical_tension_vs_relaxed_tgfb_absent,up,BH_within_9_modules,Primary mechanochemical plausibility endpoint
S1_integrin_mechanical_with_tgfb,module,core_secondary,mechanical_tension_vs_relaxed_tgfb_present,not_prespecified_direction,BH_within_9_modules,Tests persistence under TGF-beta
S2_actomyosin_mechanical_with_tgfb,module,core_secondary,mechanical_tension_vs_relaxed_tgfb_present,not_prespecified_direction,BH_within_9_modules,Tests persistence under TGF-beta
S3_integrin_mechanical_x_tgfb,module,interaction_secondary,mechanical_x_tgfb,not_prespecified_direction,BH_within_9_modules,Tests TGF-beta modification of tension response
S4_actomyosin_mechanical_x_tgfb,module,interaction_secondary,mechanical_x_tgfb,not_prespecified_direction,BH_within_9_modules,Tests TGF-beta modification of tension response
C1_frozen_candidates_no_tgfb,gene,candidate_secondary,mechanical_tension_vs_relaxed_tgfb_absent,up,BH_within_15_candidates,Reports frozen candidate concordance
C2_frozen_candidates_with_tgfb,gene,candidate_secondary,mechanical_tension_vs_relaxed_tgfb_present,not_prespecified_direction,BH_within_15_candidates,Reports frozen candidate behavior under TGF-beta
K1_competitor_modules,module,competition_required,all_contrasts,not_prespecified_direction,BH_within_9_modules,ECM TGF fibrosis inflammation hypoxia and cell-cycle alternatives must remain visible

