"order","step","action","input","output","pass_condition","if_not_pass"
"1","17B","审计PRJNA607098目标细胞、样本字段、基因覆盖和有效细胞数","现有remote Zarr gene-panel通道","S1 provenance/feasibility decision","字段、目标细胞和最小覆盖可追溯","S1 NOT_ESTIMABLE，停止正式推断"
"2","17B","审计GSE130973 donor/subject映射和目标cluster","已有Seurat对象与审计结果","GSE130973 S1 feasibility decision","至少能形成明确subject-level汇总","仅作受限补充，不跨研究合并"
"3","17C","执行样本内置换和检测率校正","S1可分析对象","共检测比例、样本级效应、置换结果","预设统计量和覆盖率均可计算","报告描述性结果或NOT_ESTIMABLE"
"4","17D","审计GSE338388真实实验设计","官方GEO元数据/处理矩阵","S2 provenance/design decision","TGFβ±×TEAD抑制±可确认","停止轴间推断"
"5","17D","执行双因素模块和候选分析","通过审计的GSE338388","S2 module/candidate statistics","主效应、交互项、覆盖率可报告","降为描述性结果"
"6","17E","审计GSE123100刚度梯度","官方GEO元数据/处理矩阵","S3 dose-response feasibility decision","梯度、重复、批次可解析","剂量-反应NOT_ESTIMABLE"
"7","17E","执行GSE123100模块剂量-反应","通过审计的GSE123100","S3 dose-response statistics","样本级趋势、效应量和不确定性可报告","保留审计结论，不更换主力数据集"
"8","17E","审计并分析GSE276045/伴随accession","官方来源和处理矩阵","stiffness-by-proliferation robustness result","增殖因素结构可识别","只作描述性跨组织复核"
"9","17E","条件允许时执行GWAS正交分析","可追溯summary statistics和LD参考","MAGMA/补充富集结果","预设控制和多重检验完成","SKIPPED，不影响主线"
"10","17F","统一重综合证据和修改稿件","S1–S3全量输出","evidence synthesis与claim revision map","每分支均有支持/不支持/不可估计裁决","保持CAUTION并记录边界"
